cert_code,cert_name,l1_category,l2_category,costing_use,description,performable_work,influence,license_type,evidence_type,license_grade,keywords,ministry,issuer
CERT-CON-0006,BIM 운용전문가2급 건축,건설부동산,건설건축,"BIM 운용전문가2급 건축 보유자는 BIM, Revit, 건축모델링, 3D설계, 물량산출 전문성으로 공사 물량, 공법, 시공조건, 도면 근거를 확인해 공사원가 산정과 검증을 수행할 수 있다.","건축 분야 BIM 도구와 모델링 절차, 객체 정보 입력, 도면화와 협업 운용 능력을 검정하는 민간 자격이다.","건축 BIM 모델 작성, 도면·물량 산출 지원, 설계·시공 협업 데이터 관리 업무를 수행할 수 있다.",2,민간,자격증,기타,"BIM, Revit, 건축모델링, 3D설계, 물량산출",국토교통부,(사)한국비아이엠학회
CERT-IT-0002,CISA(certified Information Systems Auditor),IT데이터,정보보안감사,"CISA(certified Information Systems Auditor) 보유자는 IT감사, 내부통제, ISACA, 정보보안, 위험관리 통제 기준으로 보안장비, 인증, 감사, 위험관리 비용이 원가에 적절히 반영됐는지 확인할 수 있다.","ISACA가 운영하는 국제 정보시스템 감사 자격으로 감사 절차, IT 거버넌스, 보안·통제·위험 영역을 검정한다.","정보시스템 감사, IT 내부통제 점검, 보안·위험관리 평가와 개선 권고 업무를 수행할 수 있다.",5,외국,자격증,기타,"IT감사, 내부통제, ISACA, 정보보안, 위험관리",해당 없음(국제자격),(국제)정보시스템 감사통제협회(ISACA)
CERT-BIZ-0017,ERP 물류 컨설턴트,경영경제,경영ERP,"ERP 물류 컨설턴트 보유자는 ERP, 물류관리, 구매, 재고, 컨설팅 데이터를 기준으로 구매, 생산, 회계, 인사 원천자료를 추적해 원가 산정 입력값의 신뢰성을 검증할 수 있다.",기업 물류 업무와 ERP 시스템 운용 지식을 바탕으로 물류 프로세스 컨설팅 능력을 확인하는 민간 자격이다.,"ERP 물류 모듈 분석, 구매·재고·출하 프로세스 설계, 사용자 교육과 시스템 개선 업무를 수행할 수 있다.",3,민간,자격증,기타,"ERP, 물류관리, 구매, 재고, 컨설팅",산업통상자원부,한국공인회계사회
CERT-EDU-0004,컴퓨터활용능력 2급,교육사무문화,사무OA,"컴퓨터활용능력 2급 보유자는 엑셀, 스프레드시트, OA, 사무자동화, 데이터정리 능력으로 원가 자료 정리, 계산표 검산, 문서 증빙 정합성 확인 등 실무 검증 작업을 정확히 수행할 수 있다.",대한상공회의소가 시행하는 국가기술자격으로 컴퓨터 일반과 스프레드시트 실무 활용 능력을 평가한다.,"스프레드시트 기반 자료 입력, 함수 계산, 데이터 정리·분석, 사무 자동화 업무를 수행할 수 있다.",2,국가기술자격,자격증,기타,"엑셀, 스프레드시트, OA, 사무자동화, 데이터정리",고용노동부,대한상공회의소
CERT-LAW-0001,변호사,법률행정,법률분쟁,"변호사 보유자는 법률자문, 소송, 계약검토, 분쟁해결, 변호사시험 관점에서 계약, 법률위험, 분쟁 가능성이 원가와 수수료 산정에 미치는 영향을 검토할 수 있다.",법학전문대학원 교육과 변호사시험을 거쳐 법률사무 전반을 수행할 수 있는 국가 전문자격이다.,"소송대리, 법률자문, 계약 검토, 분쟁 조정·협상, 형사·민사·행정 사건 대응 업무를 수행할 수 있다.",5,전문자격,자격증,전문자격사,"법률자문, 소송, 계약검토, 분쟁해결, 변호사시험",법무부,법무부
CERT-ENG-0002,전자기사,공학제조,전기전자,"전자기사 보유자는 전자회로, 계측, PCB, 전자기기, 유지보수 전문성으로 전자부품, 회로, 계측, 제어장치 원가의 재료비와 기술 난이도를 검토할 수 있다.","전자공학 이론과 회로, 계측, 전자기기 응용 능력을 평가하는 기사 등급 국가기술자격이다.","전자회로 설계·시험, 전자기기 제작·유지보수, 계측과 품질 확인 업무를 수행할 수 있다.",4,국가기술자격,자격증,기사,"전자회로, 계측, PCB, 전자기기, 유지보수",과학기술정보통신부/산업통상자원부,한국산업인력공단
CERT-BIZ-0024,FAT 1급,경영경제,회계세무,"FAT 1급 보유자는 전산회계, FAT, 회계프로그램, 결산, 부가가치세 관점에서 증빙, 회계처리, 세금 반영 내역을 대조해 원가 산정의 누락과 중복 계상을 점검할 수 있다.",한국공인회계사회 AT 자격 중 회계정보 처리와 전산회계 실무 능력을 평가하는 국가공인 민간자격이다.,"더존 등 회계 프로그램을 활용해 재무회계 처리, 결산 보조, 부가가치세 관련 자료 정리를 수행할 수 있다.",2,민간(국가),자격증,기타,"전산회계, FAT, 회계프로그램, 결산, 부가가치세",금융위원회,한국공인회계사회
CERT-BIZ-0031,FAT 2급,경영경제,회계세무,"FAT 2급 보유자는 기초회계, FAT, 전표입력, 회계프로그램, 장부관리 관점에서 증빙, 회계처리, 세금 반영 내역을 대조해 원가 산정의 누락과 중복 계상을 점검할 수 있다.",회계 기본 지식과 회계 프로그램을 이용한 기초 회계정보 처리 능력을 평가하는 국가공인 민간자격이다.,"기초 회계전표 입력, 장부 조회, 증빙 정리 등 초급 전산회계 업무를 수행할 수 있다.",1,민간(국가),자격증,기타,"기초회계, FAT, 전표입력, 회계프로그램, 장부관리",금융위원회,한국공인회계사회
CERT-SAF-0013,ISO 14001 2015(환경),안전환경,품질인증환경,"ISO 14001 2015(환경) 보유자는 ISO14001, 환경경영, EMS, 내부심사, 인증심사 기준으로 시험, 인증, 심사, 품질관리 활동에 필요한 인력과 비용 산정의 타당성을 검증할 수 있다.",ISO 14001:2015 환경경영시스템 요구사항과 심사기법 이해를 확인하는 심사원·실무자 성격의 자격이다.,"환경경영시스템 문서 검토, 내부심사, 인증심사 대응, 환경 리스크 개선 업무를 수행할 수 있다.",3,민간,자격증,기타,"ISO14001, 환경경영, EMS, 내부심사, 인증심사",해당 없음(민간/국제자격),IQCS
CERT-SAF-0014,ISO 9000 2000(경영),안전환경,품질인증환경,"ISO 9000 2000(경영) 보유자는 ISO9001, 품질경영, QMS, 내부심사, 프로세스개선 기준으로 시험, 인증, 심사, 품질관리 활동에 필요한 인력과 비용 산정의 타당성을 검증할 수 있다.",ISO 9000/9001 품질경영 원칙과 심사·운영 지식을 확인하는 품질경영 관련 민간·국제 자격이다.,"품질경영시스템 문서화, 내부심사, 품질 개선과 인증 유지관리 업무를 수행할 수 있다.",3,민간,자격증,기타,"ISO9001, 품질경영, QMS, 내부심사, 프로세스개선",해당 없음(민간/국제자격),IRCA
